Index|Afrikaans|Albanais|Allemand|Anglais|Arabe|Azéri|Basque|Biélorusse|Bosniaque|Bulgare|Catalan|Cebuano|Chichewa|Corse|Créole haïtien|Croate|Danois|Espagnol|Espéranto|Estonien|Finnois|Français|Frison|Gaélique (Écosse)|Galicien|Gallois|Grec|Haoussa|Hawaïen|Hmong|Hongrois|Igbo|Indonésien|Irlandais|Islandais|Italien|Javanais|Kazakh|Kinyarwanda|Kirghiz|Kurde|Latin|Letton|Lituanien|Luxembourgeois|Macédonien|Malaisien|Malgache|Maltais|Maori|Mongol|Néerlandais|Norvégien|Ouïgour|Ouzbek|Pachtô|Persan|Philippin|Polonais|Portugais|Roumain|Russe|Samoan|Serbe|Sesotho|Shona|Sindhî|Slovaque|Slovène|Somali|Soundanais|Suédois|Swahili|Tadjik|Tatar|Tchèque|Turc|Turkmène|Ukrainien|Urdu|Vietnamien|Xhosa|Yorouba|Zoulou
who|wie|Kush|WHO|who|من الذى|üst|Moe|Сусветная арганізацыя па ахове здароўя|SZO|Кой|OMS|WHO|who|who|OMS|Who|hvem|OMS|kiu|WHO|WHO|qui|WSO|Who|OMS|Sefydliad Iechyd y Byd|οι οποίοι|Hukumar Lafiya ta Duniya|ʻo wai|who|ki|WHO|siapa|EDS|WHO|Oms|Who|кім|ninde|Бүткүл дүйнөлүк саламаттык сактоо уюму|Who|oms|PVO|PSO|WHO|СЗО|who|OMS|min|ko wai|ДЭМБ|WHO|WHO|كىم|JSSV|WHO|سازمان بهداشت جهانی|sino|WHO|quem|care|кто|WHO|СЗО|WHO|who|Who|SZO|WHO|Hay'ada Caafimaadka Aduunka|who|vem|WHO|Ташкили Тандурустии Ҷаҳон|кем|SZO|DSÖ|kim|ВООЗ|ڈبلیو ایچ او|WHO|i-WHO|Àjọ WHO|i-WHO
what|wat|çfarë|Was|what|ماذا او ما|nə|zer|што|šta|Какво|què|Unsa|chani|chì|Kisa|što|hvad|qué|kio|mida|mitä|quelle|wat|dè|que|beth|τι|menene|He aha|dab tsi|mit|Kedu|apa|Cad|hvað|che cosa|apa|не|iki|эмне|çi|Quid|kas|ką|waat|што|apa|inona|xiex|he aha|юу вэ|wat|hva|نېمە|nima|څه|چی|Ano|co|o que|ce|какие|a|Шта|eng|chii|ڇا|čo|kaj|waa maxay|naon|Vad|nini|чӣ|Нәрсә|co|ne|näme|що|کیا|gì|Intoni|kini|ini
where|waar|ku|wo|where|أين|harada|non|дзе|gdje|където|on|diin|kuti|induve|kote|gdje|hvor|dónde|kie|kus|missä|où|wêr|càite|onde|lle|όπου|ina|ma hea|qhov twg|hol|ebee|dimana|áit|hvar|dove|ing pundi|қайда|he|кайда|ko|ubi|kur|kur|wou|каде|di mana|izay|fejn|kei hea|хаана|waar|hvor|where|qayerda|چیرته|جایی که|kung saan|gdzie|Onde|Unde|где|o fea|где|kae|kupi|ڪٿي|kde|kje|aaway|dimana|var|wapi|дар куҷо|кайда|kde|nerede|nirede|де|کہاں|Ở đâu|phi|ibi ti|kuphi
when|wanneer|kur|wann|when|متي|nə vaxt|noiz|калі|kada|кога|Quan|kanus-a|liti|quandu|Kilè|kada|hvornår|Cuándo|kiam|millal|kun|lorsque|wannear|cuin|cando|pryd|πότε|yaushe|i ka manawa|thaum|mikor|mgbe ole|kapan|Cathain|hvenær|quando|nalika|қашан|ryari|качан|heke|quod|kad|kada|wéini|кога|bila|rahoviana|meta|āhea|хэзээ|wanneer|når|قاچان|qachon|كله؟، څه وخت؟، كله چې|چه زمانی|kailan|gdy|quando|cand|когда|afea|када|neng|riinhi|ڪڏهن|kedy|kdaj|Goorma|iraha|när|lini|кай|кайчан|když|ne zaman|haçan|коли|کب|khi nào|nini|Nigbawo|nini
how|hoe|si|Wie|how|كيف|Necə|nola|як|kako|как|com|unsaon|Bwanji|cumu|koman|kako|hvordan|cómo|kiel|kuidas|Miten|comment|hoe|ciamar|como|Sut|πως|yaya|pehea|li cas|hogyan|Kedu|bagaimana|conas|hvernig|Come|kepiye|Қалай|gute|кандайча|çawa|quam|kā|kaip|wéi|како|bagaimana|Ahoana|kif|pehea|Хэрхэн|hoe|hvordan|قانداق|Qanday|څه ډول|چگونه|paano|w jaki sposób|Como as|Cum|как|faʻafefea|како|Joang|sei|ڪيئن|ako|kako|sidee|Kumaha|hur|vipi|Чӣ хел|Ничек|jak|Nasıl|nädip|як|کیسے|làm sao|Njani|Bawo|Kanjani
not|nie|jo|nicht|not|ليس|yox|ez|не|ne|не|no|dili|ayi|micca|pa|ne|ikke|no|ne|mitte|ei|ne pas|net|chan eil|non|ddim|δεν|ba|ʻaʻole|tsis tau|nem|ọ bụghị|tidak|ní|ekki|non|ora|емес|ntabwo|эмес|ne|non|nē|ne|net|не|tidak|tsy|mhux|kaore|үгүй|niet|ikke|ئەمەس|emas|نه|نه|hindi|nie|não|nu|нет|leai|не|che|kwete|نه|nie|ne|maahan|henteu|inte|la|не|түгел|ne|değil|däl|ні|نہیں|không phải|hayi|kii ṣe|hhayi
all|almal|të gjitha|alle|all|الكل|hamısı|guztiak|усе|sve|всичко|tot|tanan|zonse|tuttu|tout|svi|alle|todas|ĉiuj|kõik|kaikki|tout|alle|uile|todo|I gyd|όλα|duka|nā mea āpau|txhua|minden|ha niile|semua|ar fad|allt|tutti|kabeh|барлық|byose|баары|gişt|omnis|visi|visi|all|сите|semua|rehetra|kollha|katoa|бүгд|alle|alle|ھەممىسى|barchasi|ټول|همه|lahat|wszystko|tudo|toate|все|uma|све|kaofela|zvese|سڀ|všetko|vse|dhan|sadayana|Allt|yote|ҳама|Барысы да|Všechno|herşey|hemmesi|всі|سب|tất cả|konke|gbogbo|konke
many|baie|shumë|viele|many|عديدة|çox|asko|шмат|mnogi|много|molts|daghan|ambiri|assai|anpil|puno|mange|muchos|multaj|palju|monet|beaucoup|folle|mòran|moitas|llawer|Πολλά|da yawa|lehulehu|coob leej|sok|ọtụtụ|banyak|go leor|margir|molti|akeh|көп|benshi|көп|gelek|multis|daudzi|daugelis|vill|многумина|banyak|maro|ħafna|maha|олон|veel|mange|نۇرغۇن|ko'p|ډیری|زیاد|marami|wiele|vários|mulți|многие|tele|многи|tse ngata|zvakawanda|گهڻا|veľa|veliko|badan|seueur|många|nyingi|бисёр|күп|mnoho|birçok|köp|багато|بہت|nhiều|ezininzi|ọpọlọpọ awọn|eziningi
some|sommige|disa|etwas|some|بعض|bəzi|batzuk|некаторыя|neke|някои|alguns|ang uban|ena|qualchi|kèk|neki|nogle|algunos|iuj|mõned|jonkin verran|quelque|guon|cuid|algunhas|rhai|μερικοί|wasu|kekahi|ib co|néhány|ụfọdụ|beberapa|roinnt|sumar|alcuni|sawetara|кейбіреулері|bimwe|кээ бирлери|hin|aliquid|daži|kai kurie|e puer|некои|sesetengah|SASANY|xi wħud|etahi|зарим нь|sommige|noen|بەزىلىرى|biroz|ځینې|مقداری|ang ilan|trochę|algum|niste|некоторый|nisi|неки|tse ling|vamwe|ڪجهه|niektoré|nekaj|qaar|sababaraha|vissa|baadhi|баъзе|кайберләре|nějaký|biraz|käbirleri|деякі|کچھ|một số|ezinye|diẹ ninu|ezinye
few|min|pak|wenige|few|قليل|az|gutxi|няшмат|malo|малцина|pocs|pipila|ochepa|pochi|kèk|nekoliko|få|pocos|malmultaj|vähe|harvat|peu|stikmannich|beagan|poucos|ychydig|λίγοι|kaɗan|kakaikahi|tsawg|kevés|ole na ole|beberapa|cúpla|fáir|pochi|sawetara|аз|bake|бир нече|kêmane|pauci|maz|nedaug|puer|малкумина|beberapa|VITSY|ftit|tokoiti|цөөн|weinig|få|ئاز|oz|څو|تعداد کمی|kakaunti|mało|alguns|putini|немного|toʻaitiiti|неколико|mmalwa|vashoma|ڪجھ|málo|malo|yar|saeutik|få|chache|кам|бик аз|málo|az|az|небагато|کچھ|vài|zimbalwa|diẹ|okumbalwa
other|ander|të tjera|andere|other|آخر|digər|beste|іншыя|drugo|други|altres|uban pa|zina|altru|lòt|drugo|Andet|otro|alia|muud|muut|autre|oar|eile|outro|arall|άλλα|wasu|ʻē aʻe|lwm yam|Egyéb|ọzọ|lain|eile|annað|altro|liyane|басқа|ikindi|башка|yên din|alium|cits|kita|aner|други|yang lain|hafa|oħra|etahi atu|бусад|andere|annen|other|boshqa|نور|دیگر|iba pa|inny|outro|alte|Другие|isi|друго|enngwe|zvimwe|ٻيو|iné|drugo|kale|nu lain|Övrig|nyingine|дигар|бүтән|jiný|diğer|beýlekisi|інший|دوسرے|khác|enye|omiiran|okunye
one|een|një|einer|one|واحد|bir|bat|адзін|jedan|един|un|sa usa ka|chimodzi|unu|yon sèl|jedan|en|uno|unu|üks|yksi|une|ien|aon|un|un|ένας|daya|ekahi|ib tug|egy|otu|satu|ceann|einn|uno|siji|бір|imwe|бир|yek|unus|viens|vienas|eent|еден|satu|iray|waħda|kotahi|нэг|een|en|بىرى|bitta|یو|یکی|isa|jeden|1|unu|один|tasi|једно|ngoe|Poshi|هڪ|jeden|eno|mid|hiji|ett|moja|як|бер|jeden|bir|biri|один|ایک|một|Nye|ọkan|eyodwa
two|twee|dy|zwei|two|اثنين|iki|bi|два|dva|две|dos|duha|awiri|due|de|dva|to|dos|du|kaks|kaksi|deux|twa|dhà|dúas|dau|δύο|biyu|elua|ob|kettő|abụọ|dua|a dó|tvö|Due|loro|екі|bibiri|эки|du|duo|divi|du|zwee|двајца|dua|rOA|tnejn|rua|хоёр|twee|to|ئىككى|ikkitasi|دوه|دو|dalawa|dwa|dois|Două|два|lua|два|tse peli|piri|ٻه|dva|dva|laba|dua|två|mbili|ду|ике|dva|iki|iki|два|دو|hai|Mbini|meji|ezimbili
three|drie|tre|drei|three|ثلاثة|üç|hiru|тры|tri|три|tres|tulo|atatu|tre|twa|tri|tre|Tres|tri|kolm|kolme|Trois|trije|trì|tres|tri|τρία|uku|ekolu|peb|három|atọ|tiga|triúr|þrír|tre|telu|үш|bitatu|үч|sê|tribus|trīs|trys|dräi|тројца|tiga|TELO|tlieta|toru|гурав|drie|tre|ئۈچ|uchta|درې|سه|tatlo|trzy|três|Trei|три|tolu|три|tharo|tatu|ٽي|tri|tri|saddex|tilu|tre|tatu|се|өч|tři|üç|üç|три|تین|số ba|Ntathu|mẹta|ezintathu
four|vier|katër|vier|four|أربعة|dörd|lau|чатыры|četiri|четири|quatre|upat|zinayi|quattru|kat|četiri|fire|cuatro|kvar|neli|neljä|quatre|fjouwer|ceithir|catro|pedwar|τέσσερα|hudu|ʻehā|plaub|négy|anọ|empat|ceathrar|fjórir|quattro|papat|төрт|bine|төрт|çar|quattuor|četri|keturi|véier|четири|empat|EFATRA|erbgħa|tokowha|дөрөв|vier|fire|تۆت|to'rt|څلور|چهار|apat|cztery|quatro|patru|четыре|fa|четири|tse 'ne|ina|چار|štyri|štiri|afar|opat|fyra|nne|чор|дүрт|čtyři|dört|dört|чотири|چار|bốn|Zine|mẹrin|ezine
five|vyf|pesë|fünf|five|خمسة|beş|bost|пяць|pet|пет|cinc|lima|zisanu|Cinque|senk|pet|fem|cinco|kvin|viis|viisi|cinq|fiif|còig|cinco|pump|πέντε|biyar|elima|tsib|öt|ise|lima|cúig|fimm|cinque|lima|бес|bitanu|беш|pênc|quinque|pieci|penki|fënnef|пет|lima|DIMY|ħamsa|tokorima|тав|vijf|fem|بەش|besh|پنځه|پنج|lima|pięć|cinco|cinci|пять|lima|пет|hlano|shanu|پنج|päť|pet|shan|lima|fem|tano|панҷ|биш|Pět|beş|bäş|п'ять|پانچ|số năm|Ntlanu|marun|ezinhlanu
big|groot|i madh|groß|big|كبير|böyük|handia|вялікі|velika|голям|gran|dako|chachikulu|grande|gwo|velik|stor|grande|granda|suur|iso|gros|grut|mòr|grande|mawr|μεγάλο|babba|nui|loj|nagy|ukwu|besar|mór|stór|grande|amba|үлкен|binini|чоң|mezin|magnum|liels|didelis|grouss|големо|besar|lehibe|kbir|nui|том|groot|stor|big|katta|غټ|بزرگ|malaki|duży|grande|mare|большой|lapoʻa|велика|kholo|hombe|وڏو|veľký|velik|weyn|badag|stor|kubwa|калон|зур|velký|büyük|uly|великий|بڑا|to|enkulu|nla|okukhulu
long|lank|e gjate|lange|long|طويل|uzun|luzea|доўга|dugo|дълго|llarg|taas|Kutalika|longu|long|dugo|lang|largo|longa|pikk|pitkä|longue|lang|fada|longo|hir|μακρύς|tsawo|lōʻihi|ntev|hosszú|ogologo|panjang|fada|Langt|lungo|dawa|ұзақ|kirekire|узак|dirêj|longus|ilgi|ilgas|laang|долг|lama|ela|twil|roa|урт|lang|lang|ئۇزۇن|uzoq|اوږد|طولانی|mahaba|długo|longo|lung|длинный|umi|дуго|telele|refu|ڊگهو|dlho|dolga|dheer|panjang|lång|ndefu|дароз|озын|dlouho|uzun|uzyn|довго|لمبا|Dài|nde|gun|yinde
wide|wyd|i gjerë|breit|wide|واسع|geniş|zabal|шырокі|širok|широк|ample|gilapdon|lonse|largu|lajè|širok|bred|amplio|larĝa|lai|leveä|large|wiid|farsaing|de ancho|llydan|πλατύς|fadi|ākea|dav|széles|obosara|lebar|leathan|breiður|largo|jembar|кең|ubugari|кенен|bi ber|lata|plašs|platus|breet|широк|lebar|MANERAN-|wiesgħa|whanui|өргөн|breed|bred|كەڭ|keng|پراخه|وسیع|malapad|szeroki|ampla|lat|широкий|lautele|широка|ka bophara|yakafara|چوڻي|široký|široko|ballaaran|lega|bred|pana|васеъ|киң|široký|geniş|giň|широкий|چوڑا|rộng|ububanzi|fife|ububanzi
thick|dik|i trashë|dick|thick|سميك|qalın|lodia|тоўсты|debeo|дебел|espés|baga|wandiweyani|grossu|pwès|gusta|tyk|grueso|dika|paks|paksu|épais|dik|tiugh|groso|trwchus|πυκνός|lokacin farin ciki|mānoanoa|tuab|vastag|ọkpụrụkpụ|tebal|tiubh|þykkt|di spessore|kandel|қалың|umubyimba|коюу|zixt|densissima|bieza|storas|déck|густа|tebal|matevina|oħxon|matotoru|зузаан|dik|tykk|قېلىن|qalin|موټی|ضخیم|makapal|gruby|espesso|gros|толстый|mafiafia|дебео|tenya|gobvu|ٿلهو|hrubý|debel|qaro weyn|kandel|tjock|nene|пурдарахт|калын|tlustý|kalın|galyň|товстий|موٹا|dày|zingqindilili|nipọn|ukujiya
heavy|swaar|i rëndë|schwer|heavy|ثقيل|ağır|astuna|цяжкі|teška|тежък|pesat|bug-at|cholemera|pisanti|lou|teška|tung|pesado|peza|raske|raskas|lourd|swier|trom|pesado|trwm|βαρύς|nauyi|kaumaha|hnyav|nehéz|arọ|berat|trom|þungur|pesante|abot|ауыр|biremereye|оор|giran|gravis|smags|sunkus|schwéier|тежок|berat|mavesatra|tqil|taumaha|хүнд|zwaar|tung|ئېغىر|og'ir|دروند|سنگین|mabigat|ciężki|pesado|greu|тяжелый|mamafa|тешка|boima|inorema|ڳرو|ťažký|težka|culus|beurat|tung|nzito|вазнин|авыр|těžký|ağır|agyr|важкий|بھاری|nặng|inzima|wuwo|kusinda
small|klein|i vogël|klein|small|صغير|kiçik|txikia|маленькі|mali|малък|petit|gamay|yaying'ono|chjucu|piti|mali|lille|pequeña|malgranda|väike|pieni|petit|lyts|beag|pequena|bach|μικρό|karami|liʻiliʻi|me me|kicsi|obere|kecil|beag|lítill|piccolo|cilik|кішкентай|nto|кичинекей|biçûk|Parvus|mazs|mažas|kleng|мали|kecil|KELY|żgħir|iti|жижиг|klein|liten|كىچىك|kichik|وړه|کم اهمیت|maliit|mały|pequeno|mic|небольшой|laʻititi|мали|nyane|diki|ننو|malý|majhna|yar|leutik|små|ndogo|хурд|кечкенә|malý|küçük|kiçi|маленький|چھوٹا|nhỏ|encinci|kekere|okuncane
short|kort|i shkurtër|kurz|short|قصير القامة|qısa|laburra|кароткі|kratko|къс|curt|mubu|lalifupi|cortu|kout|kratak|kort|corto|mallonga|lühike|lyhyt|court|koart|goirid|curto|byr|μικρός|gajere|pōkole|luv|rövid|mkpụmkpụ|pendek|gearr|stutt|corto|cekak|қысқа|ngufi|кыска|nizm|brevis|īss|trumpas|kuerz|кратко|pendek|fohy|qasir|poto|богино|kort|kort|قىسقا|qisqa|لنډ|کوتاه|maikli|krótki|baixo|mic de statura|короткая|puʻupuʻu|кратак|khutšoanyane|pfupi|ننو|krátky|kratek|gaaban|pondok|kort|fupi|кӯтоҳ|кыска|krátký|kısa|gysga|короткий|مختصر|ngắn|mfutshane|kukuru|mfushane
narrow|smal|e ngushte|eng|narrow|ضيق|dar|estua|вузкі|uska|тесен|estret|pig-ot|yopapatiza|strettu|etwat|suziti|smal|estrecho|mallarĝa|kitsas|kapea|étroit|nau|cumhang|estreito|cul|στενός|kunkuntar|haiki|nqaim|keskeny|warara|sempit|caol|þröngt|stretto|sempit|тар|Gito|тар|teng|Adspectum graciliorem|Šaurs|siauras|enker|тесен|sempit|ferana|dejjaq|whāiti|нарийн|smal|smal|تار|tor|تنګ|محدود، تنگ|makitid|wąski|estreito|îngust|узкий|vaapiapi|узак|moqotetsane|yakamanikana|تنگ|úzky|ozko|cidhiidhi ah|heureut|smal|nyembamba|танг|тар|úzký|dar|dar|вузький|تنگ|hẹp|imxinwa|dín|mncane
thin|dun|i hollë|dünn|thin|نحيف|nazik|mehea|худы|tanka|тънък|prim|nipis|woonda|magre|mens|tanka|tynd|delgada|maldika|õhuke|ohut|mince|tin|tana|delgada|tenau|λεπτός|siriri|lahilahi|nyias|vékony|mkpa|tipis|tanaí|þunnt|magro|lancip|жіңішке|inanutse|ичке|zirav|tenues|tievs|plonas|dënn|слаб|kurus|mahia|irqiq|angiangi|нимгэн|dun|tynn|نېپىز|ingichka|نری|لاغر|payat|chudy|fino|subţire|тонкий|manifinifi|танак|tšesaane|mutete|سنهو|tenký|tanka|dhuuban|ipis|tunn|nyembamba|тунук|нечкә|tenký|ince|inçe|тонкий|پتلی|gầy|ibhityile|tinrin|mncane
woman|vrou|grua|Frau|woman|النساء|qadın|emakumea|жанчына|žena|жена|dona|babaye|mkazi|donna|fanm|žena|kvinde|mujer|virino|naine|nainen|femme|frou|boireannach|muller|fenyw|γυναίκα|mace|wahine|poj niam|nő|nwanyi|wanita|bean|kona|donna|wanita|әйел|umugore|аял|jin|femina|sieviete|moteris|Fra|жена|wanita|VEHIVAVY|mara|wahine|эмэгтэй|vrouw|kvinne|ئايال|ayol|ښځه|زن|babae|kobieta|mulher|femeie|женщина|fafine|жена|mosali|mukadzi|عورت|žena|ženska|naag|awéwé|kvinna|mwanamke|зан|хатын-кыз|žena|Kadın|aýal|жінка|عورت|đàn bà|umfazi|obinrin|owesifazane
man|man|njeri|Mann|man|رجل|kişi|gizon|чалавек|čoveče|човече|home|tawo|munthu|omu|monchè|čovjek|mand|hombre|viro|mees|mies|homme|man|dhuine|home|dyn|άνδρας|mutum|kāne|tus txiv neej|Férfi|Nwoke|manusia|fear|maður|uomo|wong lanang|адам|umuntu|адам|mêr|vir|cilvēks|vyras|Mann|човекот|lelaki|olona|raġel|tangata|хүн|Mens|Mann|man|kishi|سړی|مرد|lalaki|człowiek|homem|om|человек|tamaloa|човече|motho|murume|ماڻهو|muž|človek|nin|lalaki|man|mwanaume|мард|кеше|muž|adam|adam|людина|آدمی|Đàn ông|umntu|eniyan|indoda
man|man|njeri|Mann|man|رجل|kişi|gizon|чалавек|čoveče|човече|home|tawo|munthu|omu|monchè|čovjek|mand|hombre|viro|mees|mies|homme|man|dhuine|home|dyn|άνδρας|mutum|kāne|tus txiv neej|Férfi|Nwoke|manusia|fear|maður|uomo|wong lanang|адам|umuntu|адам|mêr|vir|cilvēks|vyras|Mann|човекот|lelaki|olona|raġel|tangata|хүн|Mens|Mann|man|kishi|سړی|مرد|lalaki|człowiek|homem|om|человек|tamaloa|човече|motho|murume|ماڻهو|muž|človek|nin|lalaki|man|mwanaume|мард|кеше|muž|adam|adam|людина|آدمی|Đàn ông|umntu|eniyan|indoda
